"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.552631375E0,3.179576620E-2,5.810941756E-2,2.640346065E-2
3.562645375E0,1.905786619E-2,7.034158707E-2,2.976863086E-2
3.572658375E0,1.330005750E-2,6.252482533E-2,2.300653234E-2
3.582671375E0,6.287155673E-3,4.451040551E-2,1.714917459E-2
3.592684375E0,-8.234847337E-4,2.369087562E-2,1.014692523E-2
3.602698375E0,-1.820571721E-3,2.314746846E-3,1.852682792E-2
3.612711375E0,-7.000630721E-3,-2.708989568E-2,2.833984606E-2
3.622724375E0,-9.758600034E-3,-5.116460845E-2,3.288266435E-2
3.632738375E0,-1.358947717E-2,-7.129233330E-2,3.468492627E-2
3.642751375E0,-1.705717854E-2,-8.355566114E-2,2.707014978E-2
3.652764375E0,-2.857323550E-2,-6.947291642E-2,2.877743356E-2
3.662777375E0,-3.860829026E-2,-4.506264627E-2,3.013910726E-2
3.672791375E0,-4.022885114E-2,-1.583249308E-2,3.084046952E-2
3.682804375E0,-3.319038078E-2,2.266163751E-2,2.840394340E-2
3.692817375E0,-2.135626227E-2,4.089834541E-2,2.391498536E-2
3.702826667E0,-1.240164973E-2,4.748513922E-2,2.383562364E-2
3.712840667E0,1.387456432E-3,4.774198681E-2,1.216332149E-2
3.722853667E0,-8.906107396E-4,3.459209576E-2,8.105729707E-3
3.732866667E0,-8.817370050E-3,1.448685676E-2,-3.145692404E-3
3.742880667E0,-1.552906819E-2,1.008092239E-2,-1.059268974E-2
3.752893667E0,-1.920938864E-2,1.419469155E-2,-1.577751525E-2
3.762906667E0,-1.554408111E-2,1.768689416E-2,-2.004496381E-2
3.772919667E0,-6.841053255E-3,1.476446074E-2,-1.463791635E-2
3.782933667E0,-4.269771278E-3,7.722530514E-3,-9.955012240E-3
3.792946667E0,-2.362081781E-3,-9.009296075E-3,-1.332812011E-3
3.802959667E0,-2.613751218E-3,-2.264548093E-2,1.685081981E-3
3.812972667E0,-8.419044316E-4,-2.480204590E-2,6.389554590E-3
3.822986667E0,6.260294467E-4,-1.616914384E-2,1.407463849E-2
3.832999667E0,5.932770669E-3,-8.245842531E-3,1.516815089E-2
3.843012667E0,9.584764019E-3,-1.004906837E-2,1.318356209E-2
3.853025667E0,1.138185151E-2,-1.094378717E-2,1.343880966E-2
3.863039667E0,1.273260824E-2,-4.753268789E-3,1.234451681E-2
3.873052667E0,1.963020861E-2,2.902150154E-3,1.222349331E-2
