"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.815406375E0,-2.249821472E-1,4.407434692E0,8.810827789E0
2.825419375E0,-2.836601257E-1,4.384682007E0,8.822952576E0
2.835432375E0,-2.977308655E-1,4.366270294E0,8.820707245E0
2.845446375E0,-3.252735901E-1,4.354295197E0,8.798553314E0
2.855459375E0,-3.607498169E-1,4.350552979E0,8.728199615E0
2.865472375E0,-3.802093506E-1,4.340224457E0,8.671168213E0
2.875485375E0,-4.002676392E-1,4.366569672E0,8.634943542E0
2.885499375E0,-4.218228149E-1,4.379293213E0,8.631949768E0
2.895512375E0,-4.090992737E-1,4.381538544E0,8.598120117E0
2.905525375E0,-3.814068604E-1,4.383634186E0,8.558602295E0
2.915538375E0,-3.689826965E-1,4.386328583E0,8.548273773E0
2.925552375E0,-3.511697388E-1,4.397255859E0,8.536598053E0
2.935565375E0,-3.674858093E-1,4.405039673E0,8.567134552E0
2.945578375E0,-3.724255371E-1,4.398902435E0,8.562943268E0
2.955591375E0,-3.637435913E-1,4.390070801E0,8.522377625E0
2.965605375E0,-3.671864319E-1,4.389322357E0,8.523874512E0
2.975618375E0,-3.754193115E-1,4.404889984E0,8.517886963E0
2.985631375E0,-3.812571716E-1,4.416266327E0,8.546926575E0
2.995644375E0,-3.746708679E-1,4.418811035E0,8.535999298E0
3.005658375E0,-3.980223083E-1,4.402494965E0,8.555758209E0
3.015671375E0,-4.209246826E-1,4.366869049E0,8.614735565E0
3.025684375E0,-4.186793518E-1,4.346361694E0,8.626710663E0
3.035697375E0,-4.126918030E-1,4.342769165E0,8.629854126E0
3.045711375E0,-3.885919189E-1,4.346810760E0,8.637338562E0
3.055724375E0,-3.851490784E-1,4.332590332E0,8.662486267E0
3.065737375E0,-4.110452271E-1,4.318669281E0,8.681945801E0
3.075751375E0,-3.981719971E-1,4.282893677E0,8.656648407E0
3.085764375E0,-4.221221924E-1,4.300706635E0,8.671317902E0
3.095777375E0,-4.031117249E-1,4.287534027E0,8.701555023E0
3.105790375E0,-3.911366272E-1,4.254003754E0,8.674910431E0
3.115804375E0,-3.915856934E-1,4.266278229E0,8.674760742E0
3.125817375E0,-4.035607910E-1,4.315076752E0,8.631500702E0
3.135830375E0,-4.287084961E-1,4.341272278E0,8.612789612E0
3.145843375E0,-4.531077576E-1,4.376449127E0,8.582402802E0
3.155857375E0,-4.543052673E-1,4.406237183E0,8.575217743E0
3.165870375E0,-4.498146057E-1,4.408482513E0,8.567433929E0
3.175883375E0,-4.549040222E-1,4.414320374E0,8.566086731E0
3.185896375E0,-4.589456177E-1,4.389621735E0,8.601263580E0
3.195910375E0,-4.475692749E-1,4.397704926E0,8.633296967E0
3.205923375E0,-4.143383789E-1,4.378095703E0,8.710985413E0
3.215936375E0,-3.998185730E-1,4.374054108E0,8.766220551E0
3.225949375E0,-3.709286499E-1,4.377047882E0,8.786578217E0
3.235963375E0,-3.622467041E-1,4.395010529E0,8.789422302E0
3.245976375E0,-3.451821899E-1,4.407135315E0,8.779692535E0
3.255989375E0,-3.073109436E-1,4.398902435E0,8.789272614E0
3.266002375E0,-2.865042114E-1,4.421056366E0,8.803343353E0
3.276016375E0,-2.880010986E-1,4.421505432E0,8.813821564E0
3.286029375E0,-2.884501648E-1,4.418361969E0,8.798852692E0
3.296042375E0,-3.144960022E-1,4.440815277E0,8.789272614E0
3.306055375E0,-3.338058472E-1,4.450545044E0,8.788823547E0
3.316069375E0,-3.546125793E-1,4.454886017E0,8.761879578E0
3.326082375E0,-3.598516846E-1,4.432283020E0,8.729397125E0
3.336095375E0,-3.490740967E-1,4.420457611E0,8.674910431E0
3.346109375E0,-3.406915283E-1,4.401147766E0,8.642427979E0
3.356122375E0,-3.332070923E-1,4.374054108E0,8.613388367E0
3.366135375E0,-3.552113342E-1,4.382137299E0,8.618926849E0
3.376148375E0,-3.818559265E-1,4.381089478E0,8.605604553E0
3.386162375E0,-4.198768616E-1,4.377047882E0,8.605754242E0
3.396175375E0,-4.302053833E-1,4.355193329E0,8.624914398E0
3.406188375E0,-4.270619202E-1,4.335284729E0,8.614286499E0
3.416201375E0,-4.303550720E-1,4.353097687E0,8.623716888E0
3.426215375E0,-4.324507141E-1,4.377197571E0,8.609197083E0
3.436228375E0,-4.204756165E-1,4.397555237E0,8.580307159E0
3.446241375E0,-4.264631653E-1,4.435127106E0,8.556656342E0
3.456254375E0,-4.477189636E-1,4.437522125E0,8.564589844E0
3.466268375E0,-4.423301697E-1,4.421655121E0,8.587192841E0
3.476281375E0,-4.559518433E-1,4.433330841E0,8.633596344E0
3.486294375E0,-4.367916870E-1,4.402195587E0,8.672365723E0
3.496307375E0,-4.225712585E-1,4.376149750E0,8.685089264E0
3.506321375E0,-4.397854614E-1,4.362528076E0,8.714727631E0
3.516334375E0,-4.327500916E-1,4.384682007E0,8.711284790E0
